회사명,종합등급,환경,사회,지배구조,연도
이수페타시스,B,B+,B+,C,2020
이수페타시스,B,B,A,C,2021
이수페타시스,C,B,B+,D,2022
이수페타시스,B,B,A,C,2023
이수페타시스,C,B,B+,C,2024
이수화학,C,B,B,C,2020
이수화학,B,B,B+,B,2021
이수화학,C,B,B+,D,2022
이수화학,B,B,B+,B,2023
이수화학,C,B,B,D,2024
이스타코,C,D,C,B,2020
이스타코,C,D,C,B,2021
이스타코,D,D,D,C,2022
이스타코,C,D,C,B,2023
이스타코,D,D,D,C,2024
이아이디,D,D,C,C,2020
이아이디,D,D,C,C,2021
이아이디,D,D,D,D,2022
이아이디,D,D,C,C,2023
이아이디,D,D,D,D,2024
이엔플러스,B,B,C,B,2020
이엔플러스,C,D,B,B,2021
이엔플러스,D,D,C,D,2022
이엔플러스,C,D,B,B,2023
이엔플러스,D,C,D,D,2024
이연제약,C,D,B,B,2020
이연제약,B,D,B,B+,2021
이연제약,C,D,D,B+,2022
이연제약,B,D,B,B+,2023
이연제약,C,D,D,B+,2024
이월드,C,D,C,B,2020
이월드,C,D,C,B,2021
이월드,D,D,C,D,2022
이월드,C,D,C,B,2023
이월드,D,D,D,D,2024
이화산업,C,C,C,C,2020
이화산업,C,D,C,B,2021
이화산업,D,D,D,D,2022
이화산업,C,D,C,B,2023
이화산업,C,C,D,C,2024
인디에프,C,D,B,B,2020
인디에프,C,D,B,B,2021
인디에프,D,D,D,C,2022
인디에프,C,D,B,B,2023
인디에프,D,D,D,C,2024
인바이오젠,C,D,B,C,2020
인바이오젠,C,D,C,C,2021
인바이오젠,D,D,D,D,2022
인바이오젠,C,D,C,C,2023
인바이오젠,D,D,D,D,2024
인스코비,C,B,C,C,2020
인스코비,C,D,C,B,2021
인스코비,D,D,D,D,2022
인스코비,C,D,C,B,2023
인스코비,D,D,D,D,2024
인지컨트롤스,C,C,B,C,2020
인지컨트롤스,C,D,C,B,2021
인지컨트롤스,D,D,C,D,2022
인지컨트롤스,C,D,C,B,2023
인지컨트롤스,C,C,C,C,2024
인천도시가스,B,C,B,B+,2020
인천도시가스,C,D,C,B,2021
인천도시가스,C,D,B,B,2022
인천도시가스,C,D,C,B,2023
인천도시가스,B,D,B,B+,2024
인터지스,B+,B,B,B+,2020
인터지스,B,B,C,B+,2021
인터지스,C,C,B,C,2022
인터지스,B,B,C,B+,2023
인터지스,C,C,C,C,2024
인팩,C,C,C,B,2020
인팩,C,D,C,B+,2021
인팩,C,D,C,B,2022
인팩,C,D,C,B+,2023
인팩,C,C,C,B,2024
일동제약,A,B+,A+,B+,2020
일동제약,A,B+,A,A,2021
일동제약,B,C,A+,B,2022
일동제약,A,B+,A,A,2023
일동제약,B+,B+,A+,B,2024
일동홀딩스,B+,B,A,B+,2020
일동홀딩스,A,B+,A,A,2021
일동홀딩스,B+,C,A+,B+,2022
일동홀딩스,A,B+,A,A,2023
일동홀딩스,A,B+,A+,B+,2024
일성건설,B,B,B,B,2020
일성건설,B,B,C,B+,2021
일성건설,D,D,D,C,2022
일성건설,B,B,C,B+,2023
일성건설,D,C,D,D,2024
일성아이에스,C,D,B,B,2020
일성아이에스,C,D,C,B+,2021
일성아이에스,D,D,D,D,2022
일성아이에스,C,D,C,B+,2023
일성아이에스,C,D,C,B,2024
일신방직,B,B,B,B,2020
일신방직,B+,B,B,A,2021
일신방직,D,C,C,D,2022
일신방직,B+,B,B,A,2023
일신방직,D,C,C,D,2024
일신석재,C,D,C,B,2020
일신석재,C,D,C,B,2021
일신석재,D,D,D,C,2022
일신석재,C,D,C,B,2023
일신석재,D,D,D,C,2024
일양약품,B,D,B,B+,2020
일양약품,C,D,C,B+,2021
일양약품,C,D,C,B+,2022
일양약품,C,D,C,B+,2023
일양약품,C,D,C,B+,2024
일정실업,C,C,C,C,2020
일정실업,C,C,C,C,2021
일정실업,D,D,D,C,2022
일정실업,C,C,C,C,2023
일정실업,D,D,D,C,2024
일진다이아,C,C,B,B,2020
일진다이아,C,D,C,B,2021
일진다이아,D,D,D,C,2022
일진다이아,C,D,C,B,2023
일진다이아,D,D,D,C,2024
일진디스플,B,B,B,B,2020
일진디스플,B,B,B,B,2021
일진디스플,D,D,D,C,2022
일진디스플,B,B,B,B,2023
일진디스플,C,C,D,C,2024
일진전기,C,C,B,C,2020
일진전기,C,C,C,B,2021
일진전기,D,D,C,D,2022
일진전기,C,C,C,B,2023
일진전기,D,C,C,D,2024
일진하이솔루스,-,-,-,-,2022
일진하이솔루스,C,C,B,C,2024
일진홀딩스,B,C,B,B,2020
일진홀딩스,C,C,C,B,2021
일진홀딩스,C,D,C,B,2022
일진홀딩스,C,C,C,B,2023
일진홀딩스,B,D,C,B+,2024
잇츠한불,B,C,B,B,2020
잇츠한불,B+,B+,B,B+,2021
잇츠한불,C,D,C,B,2022
잇츠한불,B+,B+,B,B+,2023
잇츠한불,C,C,C,B,2024
자이에스앤디,B,C,B,B+,2021
자이에스앤디,B,C,B+,B+,2022
자이에스앤디,B,C,B,B+,2023
자이에스앤디,C,C,B,B,2024
자화전자,B,B,B+,B,2020
자화전자,C,C,C,B+,2021
자화전자,D,D,C,C,2022
자화전자,C,C,C,B+,2023
자화전자,D,C,C,D,2024
전방,C,C,B+,C,2020
전방,C,C,B,B,2021
전방,D,C,C,D,2022
전방,C,C,B,B,2023
전방,D,C,C,D,2024
제이에스코퍼레이션,C,D,C,B+,2020
제이에스코퍼레이션,C,D,C,B+,2021
제이에스코퍼레이션,C,D,D,B,2022
제이에스코퍼레이션,C,D,C,B+,2023
제이에스코퍼레이션,D,D,D,C,2024
제이준코스메틱,C,D,C,B,2020
제이준코스메틱,C,D,C,B,2021
제이준코스메틱,D,D,D,C,2022
제이준코스메틱,C,D,C,B,2023
제이준코스메틱,D,D,D,D,2024
제일기획,B+,D,A,B+,2020
제일기획,B+,C,A,B+,2021
제일기획,A,B+,A,A,2022
제일기획,B+,C,A,B+,2023
제일기획,A,A,A+,A,2024
제일약품,C,D,B,B,2020
제일약품,C,D,B,B,2021
제일약품,D,D,D,D,2022
제일약품,C,D,B,B,2023
제일약품,C,C,B+,D,2024
제일연마,C,C,C,B,2020
제일연마,C,C,C,B+,2021
제일연마,C,D,D,B+,2022
제일연마,C,C,C,B+,2023
제일연마,C,C,D,B,2024
제일파마홀딩스,B,D,B,B,2020
제일파마홀딩스,B,D,B,B,2021
제일파마홀딩스,D,D,D,D,2022
제일파마홀딩스,B,D,B,B,2023
제일파마홀딩스,C,C,B+,D,2024
제주은행,B+,C,A,A,2020
제주은행,A,B,A+,A,2021
제주은행,B+,A,A,B+,2022
제주은행,A,B,A+,A,2023
제주은행,B+,B+,A,B+,2024
제주항공,B,C,B+,B+,2020
제주항공,B+,B,B+,B+,2021
제주항공,B,C,B+,B+,2022
제주항공,B+,B,B+,B+,2023
제주항공,A,A,A+,B+,2024
조광페인트,C,C,B,B,2020
조광페인트,B,B,B+,B,2021
조광페인트,C,C,C,C,2022
조광페인트,B,B,B+,B,2023
조광페인트,C,C,B,C,2024
조광피혁,C,D,C,B,2020
조광피혁,C,D,C,B,2021
조광피혁,C,D,D,B,2022
조광피혁,C,D,C,B,2023
조광피혁,C,D,D,B,2024
조비,C,D,B,B,2020
조비,C,D,C,B,2021
조비,D,D,D,D,2022
조비,C,D,C,B,2023
조비,D,D,D,D,2024
조선선재,C,D,C,B+,2020
조선선재,C,D,C,B+,2021
조선선재,D,D,D,C,2022
조선선재,C,D,C,B+,2023
조선선재,D,D,D,D,2024
조일알미늄,B,B,C,B,2020
조일알미늄,B,B,C,B+,2021
조일알미늄,C,C,C,B,2022
조일알미늄,B,B,C,B+,2023
조일알미늄,C,C,C,B,2024
조흥,B,B,C,B,2020
조흥,C,D,C,B,2021
조흥,C,C,C,C,2022
조흥,C,D,C,B,2023
조흥,C,C,B,C,2024
종근당,B,C,B+,B+,2020
종근당,A,A,A+,B+,2021
종근당,B+,B+,A,B,2022
종근당,A,A,A+,B+,2023
종근당,B+,A,A,B,2024
종근당바이오,C,B,C,C,2020
종근당바이오,B+,B+,A,B+,2021
종근당바이오,B+,B,A,B,2022
종근당바이오,B+,B+,A,B+,2023
종근당바이오,B+,A,A,B,2024
종근당홀딩스,C,C,B+,C,2020
종근당홀딩스,B+,B+,A,B+,2021
종근당홀딩스,B+,B+,A,B,2022
종근당홀딩스,B+,B+,A,B+,2023
종근당홀딩스,B+,A,A,B+,2024
주성코퍼레이션,D,C,C,D,2020
주성코퍼레이션,B,B,C,B,2021
주성코퍼레이션,D,D,D,C,2022
주성코퍼레이션,B,B,C,B,2023
주성코퍼레이션,D,C,D,D,2024
주연테크,C,C,B,C,2020
주연테크,C,C,C,C,2021
주연테크,D,D,D,D,2022
주연테크,C,C,C,C,2023
주연테크,D,D,D,D,2024
지누스,C,D,C,B+,2021
지누스,B+,B,B+,A,2022
지누스,C,D,C,B+,2023
지누스,A,A,A,A,2024
지엠비코리아,C,C,B,C,2020
지엠비코리아,C,C,C,B,2021
지엠비코리아,D,D,C,D,2022
지엠비코리아,C,C,C,B,2023
지엠비코리아,D,D,C,D,2024
지역난방공사,A,B+,A+,B+,2020
지역난방공사,A,B+,A+,A,2021
지역난방공사,A+,A,A+,A+,2022
지역난방공사,A,B+,A+,A,2023
지역난방공사,A+,A+,A+,A,2024
진도,B,D,B,B,2020
진도,D,D,D,C,2021
진도,D,D,D,C,2022
진도,D,D,D,C,2023
진도,D,D,D,D,2024
진양산업,D,D,C,C,2020
진양산업,D,D,C,C,2021
진양산업,D,D,D,D,2022
진양산업,D,D,C,C,2023
진양산업,C,D,D,B,2024
진양폴리우레탄,C,D,C,B,2020
진양폴리우레탄,C,D,C,B+,2021
진양폴리우레탄,D,D,D,C,2022
진양폴리우레탄,C,D,C,B+,2023
진양폴리우레탄,D,D,D,C,2024
진양홀딩스,C,D,C,C,2020
진양홀딩스,C,D,C,B,2021
진양홀딩스,D,D,D,D,2022
진양홀딩스,C,D,C,B,2023
진양홀딩스,C,D,D,B,2024
진양화학,D,D,C,C,2020
진양화학,C,D,C,B,2021
진양화학,D,D,D,C,2022
진양화학,C,D,C,B,2023
진양화학,C,C,D,C,2024
진에어,B+,C,B+,A,2020
진에어,B+,C,A,A,2021
진에어,B+,B,B+,A,2022
진에어,B+,C,A,A,2023
진에어,A,A,A,A,2024
진원생명과학,C,D,C,B,2020
진원생명과학,C,D,C,B+,2021
진원생명과학,D,D,D,D,2022
진원생명과학,C,D,C,B+,2023
진원생명과학,D,D,C,D,2024
진흥기업,C,C,B,B,2020
진흥기업,C,C,C,B+,2021
진흥기업,C,D,C,B,2022
진흥기업,C,C,C,B+,2023
진흥기업,C,C,C,B,2024
참엔지니어링,B,B,B,B,2020
참엔지니어링,B,D,B,B+,2021
참엔지니어링,C,D,C,B,2022
참엔지니어링,B,D,B,B+,2023
참엔지니어링,D,D,D,D,2024
천일고속,B,C,B,B+,2020
천일고속,B,C,C,B+,2021
천일고속,D,D,D,D,2022
천일고속,B,C,C,B+,2023
천일고속,D,C,D,D,2024
청호ICT,C,B,C,C,2020
청호ICT,D,D,C,D,2021
청호ICT,D,D,D,D,2022
청호ICT,D,D,C,D,2023
청호ICT,D,D,D,D,2024
체시스,C,C,B,C,2020
체시스,C,D,B,B,2021
체시스,D,D,D,C,2022
체시스,C,D,B,B,2023
체시스,D,C,D,D,2024
카카오,B+,C,A+,A,2020
카카오,A,A,A+,A,2021
카카오,A,A,A,A,2022
카카오,A,A,A+,A,2023
카카오,A,A+,A+,B+,2024
카카오뱅크,-,-,-,-,2021
카카오뱅크,-,-,-,-,2022
카카오뱅크,-,-,-,-,2023
카카오뱅크,B+,B+,A,B+,2024
카카오페이,-,-,-,-,2022
카카오페이,A,A,A+,A,2024
카프로,B+,B+,B,B+,2020
카프로,B,B,C,B+,2021
카프로,C,C,D,C,2022
카프로,B,B,C,B+,2023
카프로,C,C,C,C,2024
케이비아이동국실업,C,B,B,C,2020
케이비아이동국실업,C,C,C,C,2021
케이비아이동국실업,D,D,D,D,2022
케이비아이동국실업,C,C,C,C,2023
케이비아이동국실업,D,D,D,D,2024
케이씨,B+,B,B,B+,2020
케이씨,B,B,C,B+,2021
케이씨,C,D,B,C,2022
케이씨,B,B,C,B+,2023
케이씨,C,C,A,D,2024
케이씨씨,B,B+,A,C,2020
케이씨씨,B+,B+,A+,B,2021
케이씨씨,A,B+,A,A,2022
케이씨씨,B+,B+,A+,B,2023
케이씨씨,A,A,A,B+,2024
케이씨씨글라스,-,-,-,-,2021
케이씨씨글라스,B+,B+,A,B+,2022
케이씨씨글라스,-,-,-,-,2023
케이씨씨글라스,A,A,A+,A,2024
케이씨텍,B,B,B,B,2020
케이씨텍,B,B,B,B,2021
케이씨텍,C,D,C,B,2022
케이씨텍,B,B,B,B,2023
케이씨텍,B,C,B,B,2024
케이씨티시,B,B,B,B,2020
케이씨티시,B,B,C,B,2021
케이씨티시,D,D,C,D,2022
케이씨티시,B,B,C,B,2023
케이씨티시,D,C,C,D,2024
케이카,-,-,-,-,2022
케이카,B,C,B,B,2024
케이탑리츠,D,D,D,D,2024
케이티,A+,A,A,A+,2020
케이티,A+,A+,B+,A+,2021
케이티,A,A,B+,A,2022
케이티,A+,A+,B+,A+,2023
케이티,A,B+,A,A,2024
케이티스카이라이프,B+,C,B+,B+,2020
케이티스카이라이프,A,B,A,A,2021
케이티스카이라이프,A,B,A+,A,2022
케이티스카이라이프,A,B,A,A,2023
케이티스카이라이프,B+,B+,A,B+,2024
케이티앤지,A,B+,A+,A,2020
케이티앤지,A,A,A+,A,2021
케이티앤지,A,A,A+,A,2022
케이티앤지,A,A,A+,A,2023
케이티앤지,A+,A+,A+,A+,2024
코리아써키트,C,B+,B,C,2020
코리아써키트,B,B+,C,B+,2021
코리아써키트,D,C,D,D,2022
코리아써키트,B,B+,C,B+,2023
코리아써키트,D,C,C,D,2024
코리안리,B,D,B,B+,2020
코리안리,B+,B,B+,A,2021
코리안리,B+,C,B+,B+,2022
코리안리,B+,B,B+,A,2023
코리안리,A,A,A,A,2024
코스맥스,B+,B+,B+,B,2020
코스맥스,A,A,A,B+,2021
코스맥스,B,B+,A,C,2022
코스맥스,A,A,A,B+,2023
코스맥스,B,A,A,D,2024
코스맥스비티아이,B,B,B,B,2020
코스맥스비티아이,B+,A,A,B+,2021
코스맥스비티아이,B+,B+,A,B,2022
코스맥스비티아이,B+,A,A,B+,2023
코스맥스비티아이,B,A,A,C,2024
코스모신소재,B+,B+,B,B+,2020
코스모신소재,B,B,C,B,2021
코스모신소재,D,C,C,D,2022
코스모신소재,B,B,C,B,2023
코스모신소재,C,C,C,C,2024
코스모화학,C,B,C,D,2020
코스모화학,B,B,C,B,2021
코스모화학,D,C,D,D,2022
코스모화학,B,B,C,B,2023
코스모화학,D,C,C,D,2024
코아스,B+,B,B,B+,2020
코아스,B,C,C,B+,2021
코아스,C,D,D,B+,2022
코아스,B,C,C,B+,2023
코아스,B,C,C,B+,2024
코오롱,B,C,B+,B,2020
코오롱,B,B,B+,B,2021
코오롱,C,C,A,C,2022
코오롱,B,B,B+,B,2023
코오롱,B+,B+,A,B,2024
코오롱ENP,B+,B,B+,B+,2020
코오롱ENP,B+,B,B+,B+,2021
코오롱ENP,B,C,B,B+,2022
코오롱ENP,B+,B,B+,B+,2023
코오롱ENP,B,C,B,B+,2024
코오롱글로벌,B,C,B,B+,2020
코오롱글로벌,B,C,B,B+,2021
코오롱글로벌,C,D,C,B+,2022
코오롱글로벌,B,C,B,B+,2023
코오롱글로벌,C,B,B+,C,2024
코오롱인더,B+,B+,B+,B+,2020
코오롱인더,A,B+,A,A,2021
코오롱인더,B+,B,A,A,2022
코오롱인더,A,B+,A,A,2023
코오롱인더,B+,B+,A+,B,2024
코웨이,A,A,A+,B+,2020
코웨이,A,A,A+,B+,2021
코웨이,B+,A,A,B,2022
코웨이,A,A,A+,B+,2023
코웨이,A,A,A+,B+,2024
콘텐트리중앙,B,D,B,B,2020
콘텐트리중앙,C,D,B,C,2021
콘텐트리중앙,D,D,C,D,2022
콘텐트리중앙,C,D,B,C,2023
콘텐트리중앙,D,D,D,D,2024
콜마홀딩스,B,B,B,B,2020
콜마홀딩스,B+,B,B+,A,2021
콜마홀딩스,B+,B+,B+,B+,2022
콜마홀딩스,B+,B,B+,A,2023
콜마홀딩스,A,A,A+,A,2024
콤텍시스템,C,D,B,C,2020
콤텍시스템,C,D,B,C,2021
콤텍시스템,D,D,D,D,2022
콤텍시스템,C,D,B,C,2023
콤텍시스템,D,D,D,D,2024
쿠쿠홀딩스,B,D,B,B+,2020
쿠쿠홀딩스,B,D,C,B+,2021
쿠쿠홀딩스,C,D,D,B,2022
쿠쿠홀딩스,B,D,C,B+,2023
쿠쿠홀딩스,D,D,C,D,2024
쿠쿠홈시스,C,D,C,C,2020
쿠쿠홈시스,B,D,C,B+,2021
쿠쿠홈시스,C,D,D,B,2022
쿠쿠홈시스,B,D,C,B+,2023
쿠쿠홈시스,D,D,C,D,2024
크라운제과,B,D,B+,B,2020
크라운제과,B,C,B+,B+,2021
크라운제과,C,C,B,C,2022
크라운제과,B,C,B+,B+,2023
크라운제과,C,C,B,C,2024
크라운해태홀딩스,B,D,B+,B,2020
크라운해태홀딩스,B,C,B+,B,2021
크라운해태홀딩스,C,C,B,C,2022
크라운해태홀딩스,B,C,B+,B,2023
크라운해태홀딩스,D,C,C,D,2024
크래프톤,-,-,-,-,2021
크래프톤,-,-,-,-,2022
크래프톤,-,-,-,-,2023
크래프톤,B+,C,A,A,2024
키다리스튜디오,B,B,B,B,2020
키다리스튜디오,B,D,B,B,2021
키다리스튜디오,D,D,D,C,2022
키다리스튜디오,B,D,B,B,2023
키다리스튜디오,D,D,D,D,2024
키움증권,B,D,B+,B+,2020
키움증권,B,C,A,B,2021
키움증권,B,B,C,B,2022
키움증권,B,C,A,B,2023
키움증권,B+,B,A,B,2024
태경비케이,C,C,B,B,2020
태경비케이,C,C,B,B,2021
태경비케이,D,C,C,D,2022
태경비케이,C,C,B,B,2023
태경비케이,C,C,C,C,2024
태경산업,B,B,B,B,2020
태경산업,B,C,B,B+,2021
태경산업,C,C,C,C,2022
태경산업,B,C,B,B+,2023
태경산업,C,C,C,C,2024
태경케미컬,D,D,C,C,2020
태경케미컬,C,D,B,B,2021
태경케미컬,D,D,C,D,2022
태경케미컬,C,D,B,B,2023
태경케미컬,D,D,D,D,2024
태광산업,C,B,B+,D,2020
태광산업,B+,B,A,B+,2021
태광산업,D,D,C,C,2022
태광산업,B+,B,A,B+,2023
태광산업,C,C,C,C,2024
태림포장,C,B,C,C,2020
태림포장,C,B,C,C,2021
태림포장,C,C,B+,C,2022
태림포장,C,B,C,C,2023
태림포장,B,A,A,D,2024
태양금속공업,B,B+,B,B,2020
태양금속공업,B,B,C,B,2021
태양금속공업,D,D,D,D,2022
태양금속공업,B,B,C,B,2023
태양금속공업,D,C,C,D,2024
태영건설,B,B,B,B+,2020
태영건설,B+,A,B,B+,2021
태영건설,B+,B+,B,B+,2022
태영건설,B+,A,B,B+,2023
태영건설,A,A,A,B+,2024
태원물산,B,B,C,B,2020
태원물산,C,C,C,B,2021
태원물산,D,D,D,D,2022
태원물산,C,C,C,B,2023
태원물산,D,D,D,D,2024
테이팩스,B+,B+,B+,B,2020
테이팩스,B+,B+,B+,B+,2021
테이팩스,B+,B,A,B,2022
테이팩스,B+,B+,B+,B+,2023
테이팩스,A,A,A,B+,2024
텔코웨어,B,D,B,B,2020
텔코웨어,C,D,C,B,2021
텔코웨어,D,D,D,C,2022
텔코웨어,C,D,C,B,2023
텔코웨어,C,D,D,B,2024
토니모리,C,D,C,B+,2020
토니모리,C,D,C,B+,2021
토니모리,C,D,D,B+,2022
토니모리,C,D,C,B+,2023
토니모리,C,D,D,B,2024
티비에이치글로벌,B,C,B,B+,2020
티비에이치글로벌,B,D,B+,B+,2021
티비에이치글로벌,D,D,D,C,2022
티비에이치글로벌,B,D,B+,B+,2023
티비에이치글로벌,D,D,D,C,2024
티에이치엔,B,B,B,B,2020
티에이치엔,B,C,B,B+,2021
티에이치엔,D,D,C,D,2022
티에이치엔,B,C,B,B+,2023
티에이치엔,C,C,B,C,2024
티와이홀딩스,B+,B+,B,B+,2022
티와이홀딩스,B+,A,A,B,2024
티웨이항공,B,C,B,B,2020
티웨이항공,B,C,B+,B,2021
티웨이항공,C,D,C,B,2022
티웨이항공,B,C,B+,B,2023
티웨이항공,B,B,C,B,2024
티웨이홀딩스,C,D,B,C,2020
티웨이홀딩스,C,D,D,B,2021
티웨이홀딩스,D,D,C,D,2022
티웨이홀딩스,C,D,D,B,2023
티웨이홀딩스,D,C,C,D,2024
티케이지휴켐스,C,B,B+,C,2020
티케이지휴켐스,B+,B,A,B+,2021
티케이지휴켐스,B,B,B+,B,2022
티케이지휴켐스,B+,B,A,B+,2023
티케이지휴켐스,B+,B+,A,B,2024
파라다이스,B,D,B+,B+,2020
파라다이스,B,D,B,B+,2021
파라다이스,-,-,-,-,2022
파라다이스,B,D,B,B+,2023
파라다이스,-,-,-,-,2024
파미셀,B,B,C,B,2020
파미셀,B,C,B,B+,2021
파미셀,D,D,D,D,2022
파미셀,B,C,B,B+,2023
파미셀,D,C,D,D,2024
팜스코,B,D,B+,B+,2020
팜스코,B+,B+,A,B+,2021
팜스코,B,B,A,C,2022
팜스코,B+,B+,A,B+,2023
팜스코,A,B+,A,A,2024
팜젠사이언스,C,D,B,C,2020
팜젠사이언스,C,D,C,C,2021
팜젠사이언스,D,D,D,D,2022
팜젠사이언스,C,D,C,C,2023
팜젠사이언스,D,D,C,D,2024
팬오션,B+,B,B,A,2020
팬오션,B+,B+,D,A,2021
팬오션,B,A,B+,C,2022
팬오션,B+,B+,D,A,2023
팬오션,A,A+,A,A,2024
퍼스텍,C,B,B,C,2020
퍼스텍,C,C,C,B,2021
퍼스텍,D,D,D,C,2022
퍼스텍,C,C,C,B,2023
퍼스텍,C,C,C,C,2024
퍼시스,B,B,B,B,2020
퍼시스,B,C,B+,B,2021
퍼시스,D,D,C,D,2022
퍼시스,B,C,B+,B,2023
퍼시스,D,C,C,D,2024
페이퍼코리아,C,C,B,C,2020
페이퍼코리아,B,B,C,B,2021
페이퍼코리아,D,C,D,D,2022
페이퍼코리아,B,B,C,B,2023
페이퍼코리아,D,C,C,D,2024
평화산업,B,B,B,B,2020
평화산업,B,B+,C,B+,2021
평화산업,C,D,C,B,2022
평화산업,B,B+,C,B+,2023
평화산업,D,D,C,C,2024
평화홀딩스,B,C,B,B+,2020
평화홀딩스,B,B+,C,B+,2021
평화홀딩스,C,D,D,B+,2022
평화홀딩스,B,B+,C,B+,2023
평화홀딩스,C,D,C,B+,2024
포스코DX,B+,B,A,B+,2020
포스코DX,A,A,A+,A,2021
포스코DX,-,-,-,-,2022
포스코DX,A,A,A+,A,2023
포스코DX,-,-,-,-,2024
포스코스틸리온,A,B+,A+,B+,2020
포스코스틸리온,A,A,A+,A,2021
포스코스틸리온,A,B+,A+,B+,2022
포스코스틸리온,A,A,A+,A,2023
포스코스틸리온,A,A,A+,B+,2024
포스코인터내셔널,A+,A,A+,A+,2020
포스코인터내셔널,A+,A,A+,A+,2021
포스코인터내셔널,A,B+,A+,A,2022
포스코인터내셔널,A+,A,A+,A+,2023
포스코인터내셔널,A,A,A+,A,2024
포스코퓨처엠,A,A,A+,B+,2020
포스코퓨처엠,A,A,A+,B+,2021
포스코퓨처엠,B+,B+,A,B,2022
포스코퓨처엠,A,A,A+,B+,2023
포스코퓨처엠,A,A,A+,A,2024
풀무원,A+,A,A+,A+,2020
풀무원,A+,A,A+,A+,2021
풀무원,A,B+,A+,A,2022
풀무원,A+,A,A+,A+,2023
풀무원,A,A,A+,A,2024
풍산,B+,B+,A,B+,2020
풍산,B+,B,A,A,2021
풍산,B,C,B+,B+,2022
풍산,B+,B,A,A,2023
풍산,B+,B+,B+,B+,2024
풍산홀딩스,B,B,B+,B,2020
풍산홀딩스,B,D,A,B+,2021
풍산홀딩스,B,C,B+,B+,2022
풍산홀딩스,B,D,A,B+,2023
풍산홀딩스,B+,B+,B+,B+,2024
플레이그램,C,D,C,C,2020
